"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"185","Eucalyptus fraxinoides","Eucalyptus fraxinoides","Eucalyptus fraxinoides","branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark loose basal slabs, rough bark compacted, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"186","Eucalyptus fusiformis","Eucalyptus fusiformis","Eucalyptus fusiformis","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"187","Eucalyptus gillii","Eucalyptus gillii","Eucalyptus gillii","branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"188","Eucalyptus glaucescens","Eucalyptus glaucescens","Eucalyptus glaucescens","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"189","Eucalyptus glaucina","Eucalyptus glaucina","Eucalyptus glaucina","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"190","Eucalyptus globoidea","Eucalyptus globoidea","Eucalyptus globoidea","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"191","Eucalyptus globulus","Eucalyptus globulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Eucalyptus globulus subsp. bicostata","Eucalyptus bicostata","Eucalyptus globulus subsp. bicostata","branches smooth, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"193","Eucalyptus globulus subsp. maidenii","Eucalyptus maidenii","Eucalyptus globulus subsp. maidenii","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"194","Eucalyptus goniocalyx","Eucalyptus goniocalyx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Eucalyptus goniocalyx subsp. goniocalyx","Eucalyptus goniocalyx subsp. goniocalyx","Eucalyptus goniocalyx subsp. goniocalyx","branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"196","Eucalyptus gracilis","Eucalyptus gracilis","Eucalyptus gracilis","branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark compacted, rough bark tessellated, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"197","Eucalyptus grandis","Eucalyptus grandis","Eucalyptus grandis","branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"198","Eucalyptus grandis x saligna","Eucalyptus grandis x saligna","Eucalyptus grandis","branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
