"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Eucalyptus macrorhyncha subsp. cannonii","Eucalyptus cannonii <--> macrorhyncha","Eucalyptus cannonii <--> macrorhyncha","No match",NA
"Eucalyptus canobolensis","Eucalyptus canobolensis","Eucalyptus canobolensis","Eucalyptus canobolensis",NA
"Eucalyptus capitellata","Eucalyptus capitellata","Eucalyptus capitellata","Eucalyptus capitellata",NA
"Eucalyptus carnea","Eucalyptus carnea","Eucalyptus carnea","Eucalyptus carnea",NA
"Eucalyptus castrensis","Eucalyptus castrensis","Eucalyptus castrensis","NA",NA
"Eucalyptus chapmaniana","Eucalyptus chapmaniana","Eucalyptus chapmaniana","Eucalyptus chapmaniana",NA
"Eucalyptus chloroclada","Eucalyptus chloroclada","Eucalyptus chloroclada","Eucalyptus chloroclada",NA
"Eucalyptus cinerea","Eucalyptus cinerea","Eucalyptus cinerea","NA",NA
"Eucalyptus cladocalyx","Eucalyptus cladocalyx","Eucalyptus cladocalyx","Eucalyptus cladocalyx",NA
"Eucalyptus codonocarpa","Eucalyptus codonocarpa","Eucalyptus codonocarpa","Eucalyptus approximans subsp. codonocarpa",NA
"Eucalyptus conica","Eucalyptus conica","Eucalyptus conica","Eucalyptus conica",NA
"","Eucalyptus conjuncta","Eucalyptus conjuncta","NA",NA
"Eucalyptus consideniana","Eucalyptus consideniana","Eucalyptus consideniana","Eucalyptus consideniana",NA
"Eucalyptus conspicua","Eucalyptus conspicua","Eucalyptus conspicua","Eucalyptus conspicua subsp. conspicua",NA
"Eucalyptus coolabah","Eucalyptus coolabah","Eucalyptus coolabah","Eucalyptus coolabah",NA
"Eucalyptus coolabah","Eucalyptus coolabah","Eucalyptus microtheca","Eucalyptus coolabah",NA
"Eucalyptus coolabah","Eucalyptus coolabah subsp. arida","Eucalyptus coolabah subsp. arida","NA",NA
"Eucalyptus coolabah","Eucalyptus coolabah subsp. coolabah","Eucalyptus coolabah subsp. coolabah","NA",NA
"Eucalyptus corticosa","Eucalyptus corticosa","Eucalyptus aromaphloia","Eucalyptus corticosa",NA
"Eucalyptus corticosa","Eucalyptus corticosa","Eucalyptus corticosa","Eucalyptus corticosa",NA
"Eucalyptus incrassata","Eucalyptus costata subsp. murrayana","Eucalyptus costata","Eucalyptus incrassata",NA
"Eucalyptus incrassata","Eucalyptus costata subsp. murrayana","Eucalyptus costata subsp. murrayana","Eucalyptus incrassata",NA
"Eucalyptus incrassata","Eucalyptus costata subsp. murrayana","Eucalyptus incrassata","Eucalyptus incrassata",NA
"Eucalyptus crebra","Eucalyptus crebra","Eucalyptus crebra","Eucalyptus crebra",NA
"","Eucalyptus crebra x fibrosa","Eucalyptus crebra x fibrosa","No match",NA
"","Eucalyptus crebra x microcarpa","Eucalyptus crebra x microcarpa","No match",NA
"","Eucalyptus crebra x nubila","Eucalyptus crebra x nubila","No match",NA
"","Eucalyptus crebra x siderophloia","Eucalyptus crebra x siderophloia","No match",NA
"Eucalyptus crenulata","Eucalyptus crenulata","Eucalyptus crenulata","Eucalyptus crenulata",NA
"Eucalyptus croajingolensis","Eucalyptus croajingolensis","Eucalyptus croajingolensis","Eucalyptus croajingolensis",NA
"Eucalyptus cunninghamii","Eucalyptus cunninghamii","Eucalyptus cunninghamii","Eucalyptus cunninghamii",NA
"Eucalyptus cunninghamii","Eucalyptus cunninghamii","Eucalyptus rupicola","Eucalyptus cunninghamii",NA
"Eucalyptus cyanophylla","Eucalyptus cyanophylla","Eucalyptus cyanophylla","Eucalyptus cyanophylla",NA
"Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","Eucalyptus cypellocarpa",NA
"Eucalyptus dalrympleana","Eucalyptus dalrympleana","Eucalyptus dalrympleana","NA",NA
"Eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana",NA
