species,branches smooth
Eucalyptus pilbarensis,yes
Eucalyptus pileata,yes
Eucalyptus pilularis,yes
Eucalyptus pimpiniana,yes
Eucalyptus piperita subsp. piperita,yes
Eucalyptus piperita subsp. urceolaris,yes
Eucalyptus placita,yes
Eucalyptus planchoniana,yes
Eucalyptus platycorys,yes
Eucalyptus platydisca,yes
Eucalyptus platyphylla,yes
Eucalyptus platypus subsp. congregata,yes
Eucalyptus platypus subsp. platypus,yes
Eucalyptus pleurocarpa,yes
Eucalyptus pluricaulis subsp. pluricaulis,yes
Eucalyptus pluricaulis subsp. porphyrea,yes
Eucalyptus polita,yes
Eucalyptus polyanthemos subsp. longior,yes
Eucalyptus polyanthemos subsp. polyanthemos,yes
Eucalyptus polybractea,yes
Eucalyptus porosa,yes
Eucalyptus praetermissa,yes
Eucalyptus prava,yes
Eucalyptus preissiana subsp. lobata,yes
Eucalyptus preissiana subsp. preissiana,yes
Eucalyptus prolixa,yes
Eucalyptus prominens,yes
Eucalyptus propinqua,yes
Eucalyptus protensa,yes
Eucalyptus pruiniramis,yes
Eucalyptus pterocarpa,yes
Eucalyptus pulchella,yes
Eucalyptus pulverulenta,yes
Eucalyptus pumila,yes
Eucalyptus punctata,yes
Eucalyptus purpurata,yes
Eucalyptus pyriformis,yes
Eucalyptus pyrocarpa,yes
Eucalyptus quadrans,yes
Eucalyptus quaerenda,yes
Eucalyptus racemosa subsp. racemosa,yes
Eucalyptus racemosa subsp. rossii,yes
Eucalyptus radiata subsp. radiata,yes
Eucalyptus radiata subsp. robertsonii,yes
Eucalyptus radiata subsp. sejuncta,yes
Eucalyptus rameliana,yes
Eucalyptus raveretiana,yes
Eucalyptus ravida,yes
Eucalyptus recta,yes
Eucalyptus recurva,yes
Eucalyptus redunca,yes
Eucalyptus regnans,yes
Eucalyptus remota,yes
Eucalyptus repullulans,yes
Eucalyptus retinens,yes
Eucalyptus retusa,yes
Eucalyptus rhodantha,yes
Eucalyptus rhomboidea,yes
Eucalyptus rigens,yes
Eucalyptus rigidula,yes
Eucalyptus risdonii,yes
Eucalyptus rodwayi,yes
Eucalyptus rosacea,yes
Eucalyptus rowleyi,yes
Eucalyptus roycei,yes
Eucalyptus rubida subsp. barbigerorum,yes
Eucalyptus rubida subsp. rubida,yes
Eucalyptus rudis subsp. cratyantha,yes
Eucalyptus rudis subsp. rudis,yes
Eucalyptus rugosa,yes
Eucalyptus rugulata,yes
Eucalyptus rupestris,yes
Eucalyptus salicola,yes
Eucalyptus saligna,yes
Eucalyptus salmonophloia,yes
Eucalyptus salubris,yes
Eucalyptus sargentii subsp. onesia,yes
Eucalyptus sargentii subsp. sargentii,yes
Eucalyptus saxatilis,yes
Eucalyptus scoparia,yes
Eucalyptus seeana,yes
Eucalyptus selachiana,yes
Eucalyptus semiglobosa,yes
Eucalyptus semota,yes
Eucalyptus sepulcralis,yes
Eucalyptus serraensis,yes
Eucalyptus sessilis,yes
Eucalyptus sheathiana,yes
Eucalyptus sieberi,yes
Eucalyptus singularis,yes
Eucalyptus sinuosa,yes
Eucalyptus smithii,yes
Eucalyptus socialis subsp. socialis,yes
Eucalyptus socialis subsp. victoriensis,yes
Eucalyptus socialis subsp. viridans,yes
Eucalyptus sp. Kalbarri,yes
Eucalyptus sp. Southern Wheatbelt,yes
Eucalyptus sp. Undulans,yes
Eucalyptus sparsa,yes
Eucalyptus spathulata subsp. salina,yes
Eucalyptus spathulata subsp. spathulata,yes
Eucalyptus sporadica,yes
Eucalyptus spreta,yes
Eucalyptus squamosa,yes
Eucalyptus steedmanii,yes
Eucalyptus stellulata,yes
Eucalyptus stenostoma,yes
Eucalyptus stoatei,yes
Eucalyptus stowardii,yes
Eucalyptus striaticalyx,yes
Eucalyptus stricklandii,yes
Eucalyptus stricta,yes
Eucalyptus strzeleckii,yes
Eucalyptus sturgissiana,yes
Eucalyptus subangusta subsp. cerina,yes
Eucalyptus subangusta subsp. pusilla,yes
Eucalyptus subangusta subsp. subangusta,yes
Eucalyptus subangusta subsp. virescens,yes
Eucalyptus subcrenulata,yes
Eucalyptus suberea,yes
Eucalyptus subtilis,yes
Eucalyptus suggrandis subsp. promiscua,yes
Eucalyptus suggrandis subsp. suggrandis,yes
Eucalyptus surgens,yes
Eucalyptus sweedmaniana,yes
Eucalyptus synandra,yes
Eucalyptus talyuberlup,yes
Eucalyptus taurina,yes
Eucalyptus tenera,yes
Eucalyptus tenuiramis,yes
Eucalyptus tenuis,yes
Eucalyptus tephroclada,yes
Eucalyptus terebra,yes
Eucalyptus tereticornis subsp. basaltica,yes
Eucalyptus tereticornis subsp. mediana,yes
Eucalyptus tereticornis subsp. rotunda,yes
Eucalyptus tereticornis subsp. tereticornis,yes
Eucalyptus terrica,yes
Eucalyptus tetraptera,yes
Eucalyptus thamnoides subsp. megista,yes
Eucalyptus thamnoides subsp. thamnoides,yes
Eucalyptus tholiformis,yes
Eucalyptus thozetiana,yes
Eucalyptus tintinnans,yes
Eucalyptus todtiana,yes
Eucalyptus torquata,yes
Eucalyptus tortilis,yes
Eucalyptus transcontinentalis,yes
Eucalyptus triflora,yes
Eucalyptus trivalvis,yes
Eucalyptus tumida,yes
Eucalyptus ultima,yes
Eucalyptus umbrawarrensis,yes
Eucalyptus uncinata,yes
Eucalyptus urna,yes
Eucalyptus urnigera,yes
Eucalyptus utilis,yes
Eucalyptus valens,yes
Eucalyptus varia subsp. salsuginosa,yes
Eucalyptus varia subsp. varia,yes
Eucalyptus vegrandis subsp. recondita,yes
