species,bark
Eucalyptus remota,partly rough
Eucalyptus repullulans,partly rough
Eucalyptus retinens,partly rough
Eucalyptus rigidula,partly rough
Eucalyptus roycei,partly rough
Eucalyptus rubida subsp. barbigerorum,partly rough
Eucalyptus rubida subsp. rubida,partly rough
Eucalyptus rudis subsp. cratyantha,partly rough
Eucalyptus rudis subsp. rudis,partly rough
Eucalyptus saligna,partly rough
Eucalyptus sargentii subsp. onesia,partly rough
Eucalyptus sargentii subsp. sargentii,partly rough
Eucalyptus selachiana,partly rough
Eucalyptus semota,partly rough
Eucalyptus serraensis,partly rough
Eucalyptus sessilis,partly rough
Eucalyptus sieberi,partly rough
Eucalyptus singularis,partly rough
Eucalyptus smithii,partly rough
Eucalyptus socialis subsp. socialis,partly rough
Eucalyptus socialis subsp. victoriensis,partly rough
Eucalyptus socialis subsp. viridans,partly rough
Eucalyptus sp. Southern Wheatbelt,partly rough
Eucalyptus sparsa,partly rough
Eucalyptus stellulata,partly rough
Eucalyptus stenostoma,partly rough
Eucalyptus striaticalyx,partly rough
Eucalyptus stricklandii,partly rough
Eucalyptus strzeleckii,partly rough
Eucalyptus suberea,partly rough
Eucalyptus surgens,partly rough
Eucalyptus tenuiramis,partly rough
Eucalyptus tereticornis subsp. basaltica,partly rough
Eucalyptus tereticornis subsp. mediana,partly rough
Eucalyptus tereticornis subsp. rotunda,partly rough
Eucalyptus tereticornis subsp. tereticornis,partly rough
Eucalyptus terrica,partly rough
Eucalyptus thamnoides subsp. megista,partly rough
Eucalyptus thamnoides subsp. thamnoides,partly rough
Eucalyptus thozetiana,partly rough
Eucalyptus todtiana,partly rough
Eucalyptus torquata,partly rough
Eucalyptus triflora,partly rough
Eucalyptus trivalvis,partly rough
Eucalyptus ultima,partly rough
Eucalyptus uncinata,partly rough
Eucalyptus urnigera,partly rough
Eucalyptus varia subsp. salsuginosa,partly rough
Eucalyptus verrucata,partly rough
Eucalyptus vicina,partly rough
Eucalyptus victoriana,partly rough
Eucalyptus viminalis subsp. cygnetensis,partly rough
Eucalyptus viminalis subsp. hentyensis,partly rough
Eucalyptus viminalis subsp. pryoriana,partly rough
Eucalyptus viminalis subsp. viminalis,partly rough
Eucalyptus viridis,partly rough
Eucalyptus vokesensis,partly rough
Eucalyptus volcanica,partly rough
Eucalyptus willisii subsp. falciformis,partly rough
Eucalyptus woollsiana,partly rough
Eucalyptus wyolensis,partly rough
Eucalyptus yalatensis,partly rough
Eucalyptus yarraensis,partly rough
Eucalyptus yilgarnensis,partly rough
Eucalyptus youngiana,partly rough
Eucalyptus yumbarrana,partly rough
Eucalyptus zopherophloia,partly rough
