species,bark
Eucalyptus fraseri subsp. melanobasis,partly or all smooth
Eucalyptus fraxinoides,partly or all smooth
Eucalyptus frenchiana,partly or all smooth
Eucalyptus froggattii,partly or all smooth
Eucalyptus fruticosa,partly or all smooth
Eucalyptus gamophylla,partly or all smooth
Eucalyptus gardneri subsp. gardneri,partly or all smooth
Eucalyptus gardneri subsp. ravensthorpensis,partly or all smooth
Eucalyptus georgei subsp. fulgida,partly or all smooth
Eucalyptus georgei subsp. georgei,partly or all smooth
Eucalyptus gigantangion,partly or all smooth
Eucalyptus gillenii,partly or all smooth
Eucalyptus gillii,partly or all smooth
Eucalyptus gittinsii subsp. gittinsii,partly or all smooth
Eucalyptus gittinsii subsp. illucida,partly or all smooth
Eucalyptus glaucescens,partly or all smooth
Eucalyptus glaucina,partly or all smooth
Eucalyptus globulus subsp. bicostata,partly or all smooth
Eucalyptus globulus subsp. globulus,partly or all smooth
Eucalyptus globulus subsp. maidenii,partly or all smooth
Eucalyptus globulus subsp. pseudoglobulus,partly or all smooth
Eucalyptus glomericassis,partly or all smooth
Eucalyptus glomerosa,partly or all smooth
Eucalyptus gongylocarpa,partly or all smooth
Eucalyptus goniantha subsp. goniantha,partly or all smooth
Eucalyptus goniantha subsp. kynoura,partly or all smooth
Eucalyptus goniocalyx subsp. exposa,partly or all smooth
Eucalyptus goniocalyx subsp. goniocalyx,partly or all smooth
Eucalyptus goniocarpa,partly or all smooth
Eucalyptus gracilis,partly or all smooth
Eucalyptus grandis,partly or all smooth
Eucalyptus gregoriensis,partly or all smooth
Eucalyptus gregsoniana,partly or all smooth
Eucalyptus griffithsii,partly or all smooth
Eucalyptus grisea,partly or all smooth
Eucalyptus gunnii,partly or all smooth
Eucalyptus gypsophila,partly or all smooth
Eucalyptus haemastoma,partly or all smooth
Eucalyptus hallii,partly or all smooth
Eucalyptus halophila,partly or all smooth
Eucalyptus hebetifolia,partly or all smooth
Eucalyptus herbertiana,partly or all smooth
Eucalyptus histophylla,partly or all smooth
Eucalyptus horistes,partly or all smooth
Eucalyptus houseana,partly or all smooth
Eucalyptus hypolaena,partly or all smooth
Eucalyptus imlayensis,partly or all smooth
Eucalyptus impensa,partly or all smooth
Eucalyptus incerata,partly or all smooth
Eucalyptus incrassata,partly or all smooth
Eucalyptus indurata,partly or all smooth
Eucalyptus infera,partly or all smooth
Eucalyptus insularis,partly or all smooth
Eucalyptus interstans,partly or all smooth
Eucalyptus intertexta,partly or all smooth
Eucalyptus johnsoniana,partly or all smooth
Eucalyptus johnstonii,partly or all smooth
Eucalyptus jucunda,partly or all smooth
Eucalyptus jutsonii subsp. jutsonii,partly or all smooth
Eucalyptus kabiana,partly or all smooth
Eucalyptus kartzoffiana,partly or all smooth
Eucalyptus kenneallyi,partly or all smooth
Eucalyptus kessellii subsp. eugnosta,partly or all smooth
Eucalyptus kessellii subsp. kessellii,partly or all smooth
Eucalyptus kingsmillii subsp. alatissima,partly or all smooth
Eucalyptus kingsmillii subsp. kingsmillii,partly or all smooth
Eucalyptus kitsoniana,partly or all smooth
Eucalyptus kochii subsp. borealis,partly or all smooth
Eucalyptus kochii subsp. kochii,partly or all smooth
Eucalyptus kochii subsp. plenissima,partly or all smooth
Eucalyptus kochii subsp. yellowdinensis,partly or all smooth
Eucalyptus kondininensis,partly or all smooth
Eucalyptus kondininensis subsp. tuberosa,partly or all smooth
Eucalyptus kruseana,partly or all smooth
Eucalyptus kumarlensis,partly or all smooth
Eucalyptus kybeanensis,partly or all smooth
Eucalyptus lacrimans,partly or all smooth
Eucalyptus laeliae,partly or all smooth
Eucalyptus laevis,partly or all smooth
Eucalyptus lane-poolei,partly or all smooth
Eucalyptus langleyi,partly or all smooth
Eucalyptus lansdowneana,partly or all smooth
Eucalyptus largeana,partly or all smooth
Eucalyptus latens,partly or all smooth
Eucalyptus lateritica,partly or all smooth
Eucalyptus lehmanii subsp. parallela,partly or all smooth
Eucalyptus lehmannii subsp. lehmannii,partly or all smooth
Eucalyptus leprophloia,partly or all smooth
Eucalyptus leptocalyx,partly or all smooth
Eucalyptus leptophylla,partly or all smooth
Eucalyptus leptopoda subsp. arctata,partly or all smooth
Eucalyptus leptopoda subsp. elevata,partly or all smooth
Eucalyptus leptopoda subsp. leptopoda,partly or all smooth
Eucalyptus leptopoda subsp. subluta,partly or all smooth
Eucalyptus lesouefii,partly or all smooth
Eucalyptus leucophloia subsp. euroa,partly or all smooth
Eucalyptus leucophloia subsp. leucophloia,partly or all smooth
Eucalyptus leucoxylon subsp. leucoxylon,partly or all smooth
Eucalyptus leucoxylon subsp. megalocarpa,partly or all smooth
Eucalyptus leucoxylon subsp. pruinosa,partly or all smooth
Eucalyptus leucoxylon subsp. stephaniae,partly or all smooth
Eucalyptus ligulata subsp. ligulata,partly or all smooth
Eucalyptus ligulata subsp. stirlingica,partly or all smooth
Eucalyptus litoralis,partly or all smooth
Eucalyptus litorea,partly or all smooth
Eucalyptus livida,partly or all smooth
Eucalyptus lockyeri subsp. exuta,partly or all smooth
Eucalyptus lockyeri subsp. lockyeri,partly or all smooth
Eucalyptus longicornis,partly or all smooth
Eucalyptus longirostrata,partly or all smooth
Eucalyptus longissima,partly or all smooth
Eucalyptus loxophleba subsp. gratiae,partly or all smooth
Eucalyptus loxophleba subsp. lissophloia,partly or all smooth
Eucalyptus loxophleba subsp. loxophleba,partly or all smooth
Eucalyptus loxophleba subsp. supralaevis,partly or all smooth
Eucalyptus lucasii,partly or all smooth
Eucalyptus lucens,partly or all smooth
Eucalyptus luehmanniana,partly or all smooth
Eucalyptus luteola,partly or all smooth
Eucalyptus macrandra,partly or all smooth
Eucalyptus macrocarpa subsp. elachantha,partly or all smooth
Eucalyptus macrocarpa subsp. macrocarpa,partly or all smooth
Eucalyptus magnificata,partly or all smooth
Eucalyptus major,partly or all smooth
Eucalyptus mannensis subsp. mannensis,partly or all smooth
Eucalyptus mannensis subsp. vespertina,partly or all smooth
Eucalyptus mannifera subsp. gullickii,partly or all smooth
Eucalyptus mannifera subsp. mannifera,partly or all smooth
Eucalyptus mannifera subsp. praecox,partly or all smooth
Eucalyptus mcquoidii,partly or all smooth
Eucalyptus medialis,partly or all smooth
Eucalyptus megacarpa,partly or all smooth
Eucalyptus megacornuta,partly or all smooth
Eucalyptus melanophitra,partly or all smooth
Eucalyptus melanoxylon,partly or all smooth
Eucalyptus melliodora,partly or all smooth
Eucalyptus merrickiae,partly or all smooth
Eucalyptus michaeliana,partly or all smooth
Eucalyptus micranthera,partly or all smooth
Eucalyptus microcarpa,partly or all smooth
Eucalyptus microschema,partly or all smooth
Eucalyptus mimica subsp. continens,partly or all smooth
Eucalyptus mimica subsp. mimica,partly or all smooth
Eucalyptus miniata,partly or all smooth
Eucalyptus misella,partly or all smooth
Eucalyptus mitchelliana,partly or all smooth
Eucalyptus moderata,partly or all smooth
Eucalyptus moluccana,partly or all smooth
Eucalyptus mooreana,partly or all smooth
Eucalyptus moorei subsp. moorei,partly or all smooth
Eucalyptus moorei subsp. serpentinicola,partly or all smooth
Eucalyptus morrisbyi,partly or all smooth
Eucalyptus morrisii,partly or all smooth
Eucalyptus multicaulis,partly or all smooth
Eucalyptus myriadena,partly or all smooth
Eucalyptus nandewarica,partly or all smooth
Eucalyptus nebulosa,partly or all smooth
Eucalyptus neglecta,partly or all smooth
Eucalyptus neutra,partly or all smooth
Eucalyptus newbeyi,partly or all smooth
Eucalyptus nigrifunda,partly or all smooth
Eucalyptus nitens,partly or all smooth
Eucalyptus nitida,partly or all smooth
Eucalyptus nobilis,partly or all smooth
Eucalyptus normantonensis,partly or all smooth
Eucalyptus notactites,partly or all smooth
Eucalyptus nudicaulis,partly or all smooth
Eucalyptus nutans,partly or all smooth
Eucalyptus obesa,partly or all smooth
Eucalyptus obliqua,partly or all smooth
Eucalyptus obtusiflora,partly or all smooth
Eucalyptus occidentalis,partly or all smooth
Eucalyptus ochrophloia,partly or all smooth
Eucalyptus odontocarpa,partly or all smooth
Eucalyptus odorata,partly or all smooth
Eucalyptus oldfieldii,partly or all smooth
Eucalyptus oleosa subsp. corvina,partly or all smooth
Eucalyptus oleosa subsp. cylindroidea,partly or all smooth
Eucalyptus oleosa subsp. oleosa,partly or all smooth
Eucalyptus olivina,partly or all smooth
Eucalyptus olsenii,partly or all smooth
Eucalyptus opimiflora,partly or all smooth
Eucalyptus optima,partly or all smooth
Eucalyptus oraria,partly or all smooth
Eucalyptus orbifolia,partly or all smooth
Eucalyptus ordiana,partly or all smooth
Eucalyptus oreades,partly or all smooth
Eucalyptus orgadophila,partly or all smooth
Eucalyptus ornata,partly or all smooth
Eucalyptus orthostemon,partly or all smooth
Eucalyptus ovata var. grandiflora,partly or all smooth
Eucalyptus ovata var. ovata,partly or all smooth
Eucalyptus ovularis,partly or all smooth
Eucalyptus oxymitra,partly or all smooth
Eucalyptus pachycalyx subsp. pachycalyx,partly or all smooth
Eucalyptus pachycalyx subsp. waajensis,partly or all smooth
Eucalyptus pachyloma,partly or all smooth
Eucalyptus pachyphylla,partly or all smooth
Eucalyptus paliformis,partly or all smooth
Eucalyptus paludicola,partly or all smooth
Eucalyptus pantoleuca,partly or all smooth
Eucalyptus parramattensis subsp. decadens,partly or all smooth
Eucalyptus parramattensis subsp. parramattensis,partly or all smooth
Eucalyptus parramattensis var. sphaerocalyx,partly or all smooth
Eucalyptus parvula,partly or all smooth
Eucalyptus pauciflora subsp. acerina,partly or all smooth
Eucalyptus pauciflora subsp. debeuzevillei,partly or all smooth
Eucalyptus pauciflora subsp. hedraia,partly or all smooth
Eucalyptus pauciflora subsp. niphophila,partly or all smooth
Eucalyptus pauciflora subsp. pauciflora,partly or all smooth
Eucalyptus pendens,partly or all smooth
Eucalyptus peninsularis,partly or all smooth
Eucalyptus perangusta,partly or all smooth
Eucalyptus percostata,partly or all smooth
Eucalyptus perriniana,partly or all smooth
Eucalyptus petiolaris,partly or all smooth
Eucalyptus petraea,partly or all smooth
Eucalyptus petrensis,partly or all smooth
Eucalyptus phaenophylla subsp. interjacens,partly or all smooth
Eucalyptus phaenophylla subsp. phaenophylla,partly or all smooth
Eucalyptus phenax subsp. compressa,partly or all smooth
Eucalyptus phenax subsp. phenax,partly or all smooth
Eucalyptus pileata,partly or all smooth
Eucalyptus pilularis,partly or all smooth
Eucalyptus pimpiniana,partly or all smooth
Eucalyptus piperita subsp. piperita,partly or all smooth
Eucalyptus platycorys,partly or all smooth
Eucalyptus platydisca,partly or all smooth
Eucalyptus platyphylla,partly or all smooth
Eucalyptus platypus subsp. congregata,partly or all smooth
Eucalyptus platypus subsp. platypus,partly or all smooth
Eucalyptus pleurocarpa,partly or all smooth
Eucalyptus pluricaulis subsp. pluricaulis,partly or all smooth
Eucalyptus pluricaulis subsp. porphyrea,partly or all smooth
Eucalyptus polita,partly or all smooth
Eucalyptus polyanthemos subsp. polyanthemos,partly or all smooth
Eucalyptus polybractea,partly or all smooth
Eucalyptus porosa,partly or all smooth
Eucalyptus praetermissa,partly or all smooth
Eucalyptus prava,partly or all smooth
Eucalyptus preissiana subsp. lobata,partly or all smooth
Eucalyptus preissiana subsp. preissiana,partly or all smooth
Eucalyptus prolixa,partly or all smooth
Eucalyptus prominens,partly or all smooth
Eucalyptus propinqua,partly or all smooth
Eucalyptus protensa,partly or all smooth
Eucalyptus proxima,partly or all smooth
Eucalyptus pruiniramis,partly or all smooth
Eucalyptus pterocarpa,partly or all smooth
Eucalyptus pulchella,partly or all smooth
Eucalyptus pulverulenta,partly or all smooth
Eucalyptus pumila,partly or all smooth
Eucalyptus punctata,partly or all smooth
Eucalyptus purpurata,partly or all smooth
Eucalyptus pyriformis,partly or all smooth
Eucalyptus quadrans,partly or all smooth
Eucalyptus quaerenda,partly or all smooth
Eucalyptus racemosa subsp. racemosa,partly or all smooth
Eucalyptus racemosa subsp. rossii,partly or all smooth
Eucalyptus rameliana,partly or all smooth
Eucalyptus raveretiana,partly or all smooth
Eucalyptus ravida,partly or all smooth
Eucalyptus recta,partly or all smooth
Eucalyptus recurva,partly or all smooth
Eucalyptus redunca,partly or all smooth
Eucalyptus regnans,partly or all smooth
Eucalyptus remota,partly or all smooth
Eucalyptus repullulans,partly or all smooth
Eucalyptus retinens,partly or all smooth
Eucalyptus retusa,partly or all smooth
Eucalyptus rhodantha,partly or all smooth
Eucalyptus rhomboidea,partly or all smooth
Eucalyptus rigens,partly or all smooth
Eucalyptus rigidula,partly or all smooth
Eucalyptus risdonii,partly or all smooth
Eucalyptus rosacea,partly or all smooth
Eucalyptus rowleyi,partly or all smooth
Eucalyptus roycei,partly or all smooth
Eucalyptus rubida subsp. barbigerorum,partly or all smooth
Eucalyptus rubida subsp. rubida,partly or all smooth
Eucalyptus rudis subsp. cratyantha,partly or all smooth
Eucalyptus rudis subsp. rudis,partly or all smooth
Eucalyptus rugosa,partly or all smooth
Eucalyptus rugulata,partly or all smooth
Eucalyptus rupestris,partly or all smooth
Eucalyptus salicola,partly or all smooth
Eucalyptus saligna,partly or all smooth
Eucalyptus salmonophloia,partly or all smooth
Eucalyptus salubris,partly or all smooth
Eucalyptus sargentii subsp. onesia,partly or all smooth
Eucalyptus sargentii subsp. sargentii,partly or all smooth
Eucalyptus saxatilis,partly or all smooth
Eucalyptus scoparia,partly or all smooth
Eucalyptus seeana,partly or all smooth
Eucalyptus selachiana,partly or all smooth
Eucalyptus semiglobosa,partly or all smooth
Eucalyptus semota,partly or all smooth
