species,bark
Eucalyptus tintinnans,wholly smooth
Eucalyptus tortilis,wholly smooth
Eucalyptus transcontinentalis,wholly smooth
Eucalyptus triflora,wholly smooth
Eucalyptus trivalvis,wholly smooth
Eucalyptus tumida,wholly smooth
Eucalyptus ultima,wholly smooth
Eucalyptus umbrawarrensis,wholly smooth
Eucalyptus uncinata,wholly smooth
Eucalyptus urna,wholly smooth
Eucalyptus urnigera,wholly smooth
Eucalyptus utilis,wholly smooth
Eucalyptus valens,wholly smooth
Eucalyptus varia subsp. salsuginosa,wholly smooth
Eucalyptus varia subsp. varia,wholly smooth
Eucalyptus vegrandis subsp. recondita,wholly smooth
Eucalyptus vegrandis subsp. vegrandis,wholly smooth
Eucalyptus vernicosa,wholly smooth
Eucalyptus vesiculosa,wholly smooth
Eucalyptus vicina,wholly smooth
Eucalyptus victrix,wholly smooth
Eucalyptus viminalis subsp. viminalis,wholly smooth
Eucalyptus virginea,wholly smooth
Eucalyptus viridis,wholly smooth
Eucalyptus vittata,wholly smooth
Eucalyptus wandoo subsp. pulverea,wholly smooth
Eucalyptus wandoo subsp. wandoo,wholly smooth
Eucalyptus wilcoxii,wholly smooth
Eucalyptus willisii subsp. falciformis,wholly smooth
Eucalyptus woodwardii,wholly smooth
Eucalyptus wubinensis,wholly smooth
Eucalyptus x balanopelex,wholly smooth
Eucalyptus x missilis,wholly smooth
Eucalyptus xanthonema subsp. apposita,wholly smooth
Eucalyptus xanthonema subsp. xanthonema,wholly smooth
Eucalyptus yilgarnensis,wholly smooth
Eucalyptus youngiana,wholly smooth
Eucalyptus yumbarrana,wholly smooth
