"","species","bark_type_fibrous","bark_type_partly_fibrous","bark_type_any_shedding","trunk_only_shedding","branches_only_shedding","ribbons_in_branches","mixed_bark_shedding","mixed_bark_ribbons"
"217","Eucalyptus cyanophylla",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"218","Eucalyptus delegatensis subsp. delegatensis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"219","Eucalyptus delegatensis subsp. tasmaniensis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"220","Eucalyptus delicata",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"221","Eucalyptus dendromorpha",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"222","Eucalyptus dolichocera",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"223","Eucalyptus eremicola subsp. eremicola",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"224","Eucalyptus eremicola subsp. peeneri",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"225","Eucalyptus eudesmioides subsp. eudesmioides",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"226","Eucalyptus eudesmioides subsp. Pallida",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"227","Eucalyptus extrica",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"228","Eucalyptus famelica",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"229","Eucalyptus fastigata",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"230","Eucalyptus froggattii",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"231","Eucalyptus gamophylla",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"232","Eucalyptus gigantangion",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"233","Eucalyptus gillii",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"234","Eucalyptus gittinsii subsp. illucida",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"235","Eucalyptus glomerosa",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"236","Eucalyptus goniantha subsp. goniantha",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"237","Eucalyptus goniocalyx subsp. exposa",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"238","Eucalyptus gracilis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"239","Eucalyptus grandis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"240","Eucalyptus griffithsii",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"241","Eucalyptus gypsophila",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"242","Eucalyptus halophila",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"243","Eucalyptus horistes",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
