"","species","bark_type_fibrous","bark_type_partly_fibrous","bark_type_any_shedding","trunk_only_shedding","branches_only_shedding","ribbons_in_branches","mixed_bark_shedding","mixed_bark_ribbons"
"831","Eucalyptus woodwardii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"832","Eucalyptus woollsiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"833","Eucalyptus wubinensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"834","Eucalyptus x balanopelex",NA,NA,"shedding",NA,NA,NA,NA,NA
"835","Eucalyptus x missilis",NA,NA,"shedding",NA,NA,NA,NA,NA
"836","Eucalyptus xanthonema subsp. apposita",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"837","Eucalyptus xanthonema subsp. xanthonema",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"838","Eucalyptus yilgarnensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"839","Eucalyptus yumbarrana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"840","Eucalyptus proxima",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
