"","species","matched_assigned","matched_unassigned"
"322","Eucalyptus decurva",NA,NA
"323","Eucalyptus deflexa",NA,NA
"324","Eucalyptus delegatensis subsp. delegatensis","TRUE",NA
"325","Eucalyptus delegatensis subsp. tasmaniensis",NA,NA
"326","Eucalyptus delicata",NA,NA
"327","Eucalyptus dendromorpha","TRUE",NA
"328","Eucalyptus densa subsp. densa",NA,NA
"329","Eucalyptus densa subsp. improcera",NA,NA
"330","Eucalyptus denticulata",NA,NA
"331","Eucalyptus depauperata",NA,NA
"332","Eucalyptus desmondensis",NA,NA
"333","Eucalyptus deuaensis",NA,NA
"334","Eucalyptus dielsii",NA,NA
"335","Eucalyptus diminuta",NA,NA
"336","Eucalyptus diptera",NA,NA
"337","Eucalyptus discreta",NA,NA
"338","Eucalyptus dissimulata",NA,NA
"339","Eucalyptus distans",NA,NA
"340","Eucalyptus distuberosa subsp. aerata",NA,NA
"341","Eucalyptus distuberosa subsp. distuberosa",NA,NA
"342","Eucalyptus diversicolor",NA,NA
"343","Eucalyptus diversifolia subsp. diversifolia",NA,NA
"344","Eucalyptus diversifolia subsp. hesperia",NA,NA
"345","Eucalyptus dives","TRUE",NA
"346","Eucalyptus dolichocera",NA,NA
"347","Eucalyptus dolichorhyncha",NA,NA
"348","Eucalyptus dolorosa",NA,NA
"349","Eucalyptus doratoxylon",NA,NA
"350","Eucalyptus dorrienii",NA,NA
"351","Eucalyptus dorrigoensis","TRUE",NA
"352","Eucalyptus drummondii",NA,NA
"353","Eucalyptus dumosa","TRUE",NA
"354","Eucalyptus dundasii",NA,NA
"355","Eucalyptus dunnii","TRUE",NA
"356","Eucalyptus dura",NA,NA
"357","Eucalyptus dwyeri","TRUE",NA
"358","Eucalyptus ebbanoensis subsp. ebbanoensis",NA,NA
"359","Eucalyptus ebbanoensis subsp. photina",NA,NA
"360","Eucalyptus ecostata",NA,NA
"361","Eucalyptus educta",NA,NA
"362","Eucalyptus effusa",NA,NA
"363","Eucalyptus elaeophloia",NA,NA
"364","Eucalyptus elata","TRUE",NA
"365","Eucalyptus elliptica","TRUE",NA
"366","Eucalyptus erectifolia",NA,NA
"367","Eucalyptus eremicola subsp. eremicola",NA,NA
"368","Eucalyptus eremicola subsp. peeneri",NA,NA
"369","Eucalyptus eremophila",NA,NA
"370","Eucalyptus erosa",NA,NA
"371","Eucalyptus erythrandra",NA,NA
"372","Eucalyptus erythrocorys",NA,NA
"373","Eucalyptus erythronema subsp. erythronema",NA,NA
"374","Eucalyptus erythronema subsp. inornata",NA,NA
"375","Eucalyptus eudesmioides subsp. eudesmioides",NA,NA
"376","Eucalyptus eudesmioides subsp. Pallida",NA,NA
"377","Eucalyptus eugenioides","TRUE",NA
"378","Eucalyptus ewartiana",NA,NA
"379","Eucalyptus exigua",NA,NA
"380","Eucalyptus exilipes",NA,NA
"381","Eucalyptus exilis",NA,NA
"382","Eucalyptus expressa","TRUE",NA
"383","Eucalyptus exserta","TRUE",NA
"384","Eucalyptus extensa",NA,NA
"385","Eucalyptus extrica",NA,NA
"386","Eucalyptus falcata",NA,NA
"387","Eucalyptus famelica",NA,NA
"388","Eucalyptus farinosa",NA,NA
"389","Eucalyptus fasciculosa",NA,NA
"390","Eucalyptus fastigata","TRUE",NA
"391","Eucalyptus fibrosa subsp. fibrosa",NA,"TRUE"
"392","Eucalyptus fibrosa subsp. nubila",NA,"TRUE"
"393","Eucalyptus flavida",NA,NA
"394","Eucalyptus flindersii",NA,NA
"395","Eucalyptus flocktoniae subsp. flocktoniae",NA,NA
"396","Eucalyptus flocktoniae subsp. hebes",NA,NA
"397","Eucalyptus foecunda",NA,"TRUE"
"398","Eucalyptus foliosa",NA,NA
"399","Eucalyptus formanii",NA,NA
"400","Eucalyptus forrestiana",NA,NA
"401","Eucalyptus fraseri subsp. fraseri",NA,NA
"402","Eucalyptus fraseri subsp. melanobasis",NA,NA
"403","Eucalyptus fraxinoides","TRUE",NA
"404","Eucalyptus frenchiana",NA,NA
"405","Eucalyptus froggattii",NA,NA
"406","Eucalyptus fruticosa",NA,NA
"407","Eucalyptus fulgens",NA,NA
"408","Eucalyptus fusiformis","TRUE",NA
"409","Eucalyptus gamophylla",NA,NA
"410","Eucalyptus gardneri subsp. gardneri",NA,NA
"411","Eucalyptus gardneri subsp. ravensthorpensis",NA,NA
"412","Eucalyptus georgei subsp. fulgida",NA,NA
"413","Eucalyptus georgei subsp. georgei",NA,NA
"414","Eucalyptus gigantangion",NA,NA
"415","Eucalyptus gillenii",NA,NA
"416","Eucalyptus gillii","TRUE",NA
"417","Eucalyptus gittinsii subsp. gittinsii",NA,NA
"418","Eucalyptus gittinsii subsp. illucida",NA,NA
"419","Eucalyptus glaucescens","TRUE",NA
"420","Eucalyptus glaucina","TRUE",NA
"421","Eucalyptus globoidea","TRUE",NA
"422","Eucalyptus globulus subsp. bicostata",NA,"TRUE"
"423","Eucalyptus globulus subsp. globulus",NA,NA
"424","Eucalyptus globulus subsp. maidenii",NA,"TRUE"
"425","Eucalyptus globulus subsp. pseudoglobulus",NA,NA
"426","Eucalyptus glomericassis",NA,NA
"427","Eucalyptus glomerosa",NA,NA
"428","Eucalyptus gomphocephala",NA,NA
"429","Eucalyptus gongylocarpa",NA,NA
"430","Eucalyptus goniantha subsp. goniantha",NA,NA
"431","Eucalyptus goniantha subsp. kynoura",NA,NA
"432","Eucalyptus goniocalyx subsp. exposa",NA,NA
"433","Eucalyptus goniocalyx subsp. goniocalyx","TRUE",NA
"434","Eucalyptus goniocalyx subsp. viridissima",NA,NA
"435","Eucalyptus goniocarpa",NA,NA
"436","Eucalyptus gracilis","TRUE",NA
"437","Eucalyptus grandis","TRUE",NA
"438","Eucalyptus granitica",NA,NA
"439","Eucalyptus gregoriensis",NA,NA
"440","Eucalyptus gregsoniana","TRUE",NA
"441","Eucalyptus griffithsii",NA,NA
"442","Eucalyptus grisea",NA,NA
"443","Eucalyptus grossa",NA,NA
"444","Eucalyptus guilfoylei",NA,NA
"445","Eucalyptus gunnii","TRUE",NA
"446","Eucalyptus gypsophila",NA,NA
"447","Eucalyptus haemastoma","TRUE",NA
"448","Eucalyptus hallii",NA,NA
"449","Eucalyptus halophila",NA,NA
"450","Eucalyptus hebetifolia",NA,NA
"451","Eucalyptus helidonica",NA,NA
"452","Eucalyptus herbertiana",NA,NA
"453","Eucalyptus histophylla",NA,NA
"454","Eucalyptus horistes",NA,NA
"455","Eucalyptus houseana",NA,NA
"456","Eucalyptus howittiana",NA,NA
"457","Eucalyptus hypolaena",NA,NA
"458","Eucalyptus hypostomatica","TRUE",NA
"459","Eucalyptus ignorabilis","TRUE",NA
"460","Eucalyptus imitans","TRUE",NA
"461","Eucalyptus imlayensis",NA,NA
"462","Eucalyptus impensa",NA,NA
"463","Eucalyptus incerata",NA,NA
"464","Eucalyptus incrassata",NA,"TRUE"
"465","Eucalyptus indurata",NA,NA
"466","Eucalyptus infera",NA,NA
"467","Eucalyptus insularis",NA,NA
"468","Eucalyptus interstans","TRUE",NA
"469","Eucalyptus intertexta","TRUE",NA
"470","Eucalyptus jacksonii",NA,NA
"471","Eucalyptus jensenii",NA,NA
"472","Eucalyptus johnsoniana",NA,NA
"473","Eucalyptus johnstonii",NA,NA
"474","Eucalyptus jucunda",NA,NA
"475","Eucalyptus jutsonii subsp. jutsonii",NA,NA
"476","Eucalyptus jutsonii subsp. kobela",NA,NA
"477","Eucalyptus kabiana",NA,NA
"478","Eucalyptus kartzoffiana","TRUE",NA
"479","Eucalyptus kenneallyi",NA,NA
"480","Eucalyptus kessellii subsp. eugnosta",NA,NA
"481","Eucalyptus kessellii subsp. kessellii",NA,NA
"482","Eucalyptus kingsmillii subsp. alatissima",NA,NA
"483","Eucalyptus kingsmillii subsp. kingsmillii",NA,NA
"484","Eucalyptus kitsoniana",NA,NA
"485","Eucalyptus kochii subsp. amaryssia",NA,NA
"486","Eucalyptus kochii subsp. borealis",NA,NA
"487","Eucalyptus kochii subsp. kochii",NA,NA
"488","Eucalyptus kochii subsp. plenissima",NA,NA
"489","Eucalyptus kochii subsp. yellowdinensis",NA,NA
"490","Eucalyptus kondininensis",NA,NA
"491","Eucalyptus kondininensis subsp. tuberosa",NA,NA
"492","Eucalyptus koolpinensis",NA,NA
"493","Eucalyptus kruseana",NA,NA
"494","Eucalyptus kumarlensis",NA,NA
"495","Eucalyptus kybeanensis","TRUE",NA
"496","Eucalyptus lacrimans","TRUE",NA
"497","Eucalyptus laeliae",NA,NA
"498","Eucalyptus laevis",NA,NA
"499","Eucalyptus laevopinea","TRUE",NA
"500","Eucalyptus lane-poolei",NA,NA
"501","Eucalyptus langleyi","TRUE",NA
"502","Eucalyptus lansdowneana",NA,NA
"503","Eucalyptus largeana","TRUE",NA
"504","Eucalyptus largiflorens","TRUE",NA
"505","Eucalyptus latens",NA,NA
"506","Eucalyptus lateritica",NA,NA
"507","Eucalyptus latisinensis",NA,NA
"508","Eucalyptus lehmanii subsp. parallela",NA,NA
"509","Eucalyptus lehmannii subsp. lehmannii",NA,NA
"510","Eucalyptus leprophloia",NA,NA
"511","Eucalyptus leptocalyx",NA,NA
"512","Eucalyptus leptophleba",NA,NA
"513","Eucalyptus leptophylla","TRUE",NA
"514","Eucalyptus leptopoda subsp. arctata",NA,NA
"515","Eucalyptus leptopoda subsp. elevata",NA,NA
"516","Eucalyptus leptopoda subsp. leptopoda",NA,NA
"517","Eucalyptus leptopoda subsp. subluta",NA,NA
"518","Eucalyptus lesouefii",NA,NA
"519","Eucalyptus leucophloia subsp. euroa",NA,NA
"520","Eucalyptus leucophloia subsp. leucophloia",NA,NA
"521","Eucalyptus leucophylla",NA,NA
"522","Eucalyptus leucoxylon subsp. leucoxylon",NA,NA
"523","Eucalyptus leucoxylon subsp. megalocarpa",NA,NA
"524","Eucalyptus leucoxylon subsp. pruinosa","TRUE",NA
"525","Eucalyptus leucoxylon subsp. stephaniae",NA,NA
"526","Eucalyptus ligulata subsp. ligulata",NA,NA
"527","Eucalyptus ligulata subsp. stirlingica",NA,NA
"528","Eucalyptus ligustrina","TRUE",NA
"529","Eucalyptus limitaris",NA,NA
"530","Eucalyptus lirata",NA,NA
"531","Eucalyptus litoralis",NA,NA
"532","Eucalyptus litorea",NA,NA
"533","Eucalyptus livida",NA,NA
"534","Eucalyptus lockyeri subsp. exuta",NA,NA
"535","Eucalyptus lockyeri subsp. lockyeri",NA,NA
"536","Eucalyptus longicornis",NA,NA
"537","Eucalyptus longifolia","TRUE",NA
"538","Eucalyptus longirostrata",NA,NA
"539","Eucalyptus longissima",NA,NA
"540","Eucalyptus loxophleba subsp. gratiae",NA,NA
"541","Eucalyptus loxophleba subsp. lissophloia",NA,NA
"542","Eucalyptus loxophleba subsp. loxophleba",NA,NA
"543","Eucalyptus loxophleba subsp. supralaevis",NA,NA
"544","Eucalyptus lucasii",NA,NA
"545","Eucalyptus lucens",NA,NA
"546","Eucalyptus luculenta",NA,NA
"547","Eucalyptus luehmanniana","TRUE",NA
"548","Eucalyptus luteola",NA,NA
"549","Eucalyptus macarthurii","TRUE",NA
"550","Eucalyptus mackintii","TRUE",NA
"551","Eucalyptus macrandra",NA,NA
"552","Eucalyptus macrocarpa subsp. elachantha",NA,NA
"553","Eucalyptus macrocarpa subsp. macrocarpa",NA,NA
"554","Eucalyptus macrorhyncha subsp. cannonii",NA,"TRUE"
"555","Eucalyptus macrorhyncha subsp. macrorhyncha",NA,"TRUE"
"556","Eucalyptus magnificata","TRUE",NA
"557","Eucalyptus major","TRUE",NA
"558","Eucalyptus malacoxylon","TRUE",NA
"559","Eucalyptus mannensis subsp. mannensis",NA,NA
"560","Eucalyptus mannensis subsp. vespertina",NA,NA
"561","Eucalyptus mannifera subsp. gullickii","TRUE",NA
"562","Eucalyptus mannifera subsp. mannifera","TRUE",NA
"563","Eucalyptus mannifera subsp. praecox",NA,"TRUE"
"564","Eucalyptus marginata subsp. elegantella",NA,NA
"565","Eucalyptus marginata subsp. marginata",NA,NA
"566","Eucalyptus marginata subsp. thalassica",NA,NA
"567","Eucalyptus mckieana","TRUE",NA
"568","Eucalyptus mcquoidii",NA,NA
"569","Eucalyptus medialis",NA,NA
"570","Eucalyptus mediocris",NA,NA
"571","Eucalyptus megacarpa",NA,NA
"572","Eucalyptus megacornuta",NA,NA
"573","Eucalyptus megasepala",NA,NA
"574","Eucalyptus melanoleuca",NA,NA
"575","Eucalyptus melanophitra",NA,NA
"576","Eucalyptus melanophloia subsp. melanophloia",NA,NA
"577","Eucalyptus melanophloia subsp. nana",NA,NA
"578","Eucalyptus melanoxylon",NA,NA
"579","Eucalyptus melliodora","TRUE",NA
"580","Eucalyptus merrickiae",NA,NA
"581","Eucalyptus michaeliana","TRUE",NA
"582","Eucalyptus micranthera",NA,NA
"583","Eucalyptus microcarpa","TRUE",NA
