,BioNet_unassigned,BioNet_assigned,EUCLID_checked,EUCLID_no_match,Modification type,Notes
274,Eucalyptus olida,Eucalyptus olida,Eucalyptus olida,NA,1,
275,Eucalyptus olsenii,Eucalyptus olsenii,Eucalyptus olsenii,NA,1,
277,Eucalyptus ophitica,Eucalyptus ophitica,Eucalyptus ophitica,NA,1,
278,Eucalyptus oreades,Eucalyptus oreades,Eucalyptus oreades,NA,1,
279,Eucalyptus oresbia,Eucalyptus oresbia,NA,NA,,
280,Eucalyptus ovata,Eucalyptus ovata,NA,NA,,
281,Eucalyptus pachycalyx,Eucalyptus pachycalyx subsp. banyabba,NA,NA,,
282,Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx subsp. waajensis,NA,6,Matched; the synonym of E. pachycalyx subsp. banyabba listed in EUCLID
283,Eucalyptus paliformis,Eucalyptus paliformis,Eucalyptus paliformis,NA,1,
284,Eucalyptus panda,Eucalyptus panda,Eucalyptus panda,NA,1,
285,Eucalyptus paniculata,Eucalyptus paniculata,Eucalyptus paniculata,NA,1,
286,Eucalyptus paniculata subsp. matutina,Eucalyptus paniculata subsp. matutina,NA,NA,,
287,Eucalyptus paniculata subsp. paniculata,Eucalyptus paniculata subsp. paniculata,NA,NA,,
288,Eucalyptus parramattensis,Eucalyptus parramattensis,Eucalyptus parramattensis subsp. parramattensis,NA,6,Matched; E. parramattensis and E. parramattensis subsp. parramattensis listed as synonyms in the APC for E. pattamattensis var. sphaerocalyx but not for each other. Accepted the connection by interpretation 
289,Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens,NA,1,
290,Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis,NA,1,
291,Eucalyptus parvifolia,Eucalyptus parvula,Eucalyptus parvula,NA,1,
292,Eucalyptus parvula,Eucalyptus parvula,Eucalyptus parvula,NA,1,
294,Eucalyptus pauciflora,Eucalyptus pauciflora,Eucalyptus pauciflora subsp. pauciflora,NA,2,
297,Eucalyptus pauciflora subsp. pauciflora,Eucalyptus pauciflora,Eucalyptus pauciflora subsp. pauciflora,NA,1,
300,Eucalyptus perriniana,Eucalyptus perriniana,Eucalyptus perriniana,NA,1,
301,Eucalyptus pilligaensis,Eucalyptus pilligaensis,Eucalyptus woollsiana,NA,6,Matched; synonym of E. pilligaensis listed in EUCLID
302,Eucalyptus pilularis,Eucalyptus pilularis,Eucalyptus pilularis,NA,1,
303,Eucalyptus piperita,Eucalyptus piperita,NA,NA,5,"These subspecies are listed as having differing bark. Notably, one of them is described as having ribbons and the other not."
304,Eucalyptus piperita subsp. piperita,Eucalyptus piperita,Eucalyptus piperita subsp. piperita,NA,"1, 5","These subspecies are listed as having differing bark. Notably, one of them is described as having ribbons and the other not."
305,Eucalyptus piperita subsp. urceolaris,Eucalyptus piperita,Eucalyptus piperita subsp. urceolaris,NA,"1, 5","These subspecies are listed as having differing bark. Notably, one of them is described as having ribbons and the other not."
306,Eucalyptus placita,Eucalyptus placita,Eucalyptus placita,NA,1,
307,Eucalyptus planchoniana,Eucalyptus planchoniana,Eucalyptus planchoniana,NA,1,
308,Eucalyptus polyanthemos,Eucalyptus polyanthemos,NA,NA,,
310,Eucalyptus polyanthemos subsp. tarda,Eucalyptus polyanthemos,NA,NA,,
309,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,NA,1,
311,Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyanthemos subsp. vestita,NA,1,
312,Eucalyptus polybractea,Eucalyptus polybractea,Eucalyptus polybractea,NA,1,
314,Eucalyptus populnea,Eucalyptus populnea subsp. bimbil,Eucalyptus populnea,NA,1,
315,Eucalyptus populnea subsp. bimbil,Eucalyptus populnea subsp. bimbil,Eucalyptus populnea,NA,2,
316,Eucalyptus porosa,Eucalyptus porosa,Eucalyptus porosa,NA,1,
241,Eucalyptus mannifera subsp. praecox,Eucalyptus praecox,Eucalyptus mannifera subsp. praecox,NA,1,
317,Eucalyptus praecox,Eucalyptus praecox,Eucalyptus mannifera subsp. praecox,NA,2,
318,Eucalyptus prava,Eucalyptus prava,Eucalyptus prava,NA,1,
319,Eucalyptus prominula,Eucalyptus prominula,Eucalyptus prominula,NA,1,
320,Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua,NA,1,
321,Eucalyptus psammitica,Eucalyptus psammitica,Eucalyptus psammitica,NA,1,
322,Eucalyptus pseudoglobulus,Eucalyptus pseudoglobulus,Eucalyptus globulus subsp. pseudoglobulus,NA,6,Matched; synonym E. pseudogobulus listed in the APC
323,Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta,NA,1,
324,Eucalyptus pumila,Eucalyptus pumila,Eucalyptus pumila,NA,1,
325,Eucalyptus punctata,Eucalyptus punctata,Eucalyptus punctata,NA,1,
326,Eucalyptus punctata subsp. punctata,Eucalyptus punctata subsp. punctata,NA,NA,,
328,Eucalyptus pyrocarpa,Eucalyptus pyrocarpa,Eucalyptus pyrocarpa,NA,1,
329,Eucalyptus quadrangulata,Eucalyptus quadrangulata,Eucalyptus quadrangulata,NA,1,
330,Eucalyptus quinniorum,Eucalyptus quinniorum,NA,NA,,
331,Eucalyptus racemosa,Eucalyptus racemosa,Eucalyptus racemosa subsp. racemosa,NA,2,
332,Eucalyptus racemosa subsp. racemosa,Eucalyptus racemosa,Eucalyptus racemosa subsp. racemosa,NA,1,
334,Eucalyptus radiata,Eucalyptus radiata,NA,NA,,
335,Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata,NA,1,
337,Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,NA,1,
338,Eucalyptus ralla,Eucalyptus ralla,NA,NA,,
339,Eucalyptus recurva,Eucalyptus recurva,Eucalyptus recurva,NA,1,
340,Eucalyptus resinifera,Eucalyptus resinifera,NA,NA,,
341,Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,NA,1,
342,Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera,NA,1,
344,Eucalyptus retinens,Eucalyptus retinens,Eucalyptus retinens,NA,1,
336,Eucalyptus radiata subsp. robertsonii,Eucalyptus robertsonii,Eucalyptus radiata subsp. robertsonii,NA,1,
345,Eucalyptus robertsonii,Eucalyptus robertsonii,Eucalyptus radiata subsp. robertsonii,NA,2,
346,Eucalyptus robertsonii subsp. hemisphaerica,Eucalyptus robertsonii subsp. hemisphaerica,NA,NA,,
347,Eucalyptus robertsonii subsp. robertsonii,Eucalyptus robertsonii subsp. robertsonii,NA,NA,,
348,Eucalyptus robusta,Eucalyptus robusta,Eucalyptus robusta,NA,1,
349,Eucalyptus robusta x saligna,Eucalyptus robusta x saligna,No match,NA,3,
333,Eucalyptus racemosa subsp. rossii,Eucalyptus rossii,Eucalyptus racemosa subsp. rossii,NA,1,
352,Eucalyptus rossii,Eucalyptus rossii,Eucalyptus racemosa subsp. rossii,NA,2,
353,Eucalyptus rubida,Eucalyptus rubida,NA,NA,,
354,Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida subsp. barbigerorum,NA,1,
355,Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida,NA,1,
356,Eucalyptus rubida x viminalis,Eucalyptus rubida x viminalis,No match,NA,3,
357,Eucalyptus rudderi,Eucalyptus rudderi,Eucalyptus rudderi,NA,1,
358,Eucalyptus rummeryi,Eucalyptus rummeryi,Eucalyptus rummeryi,NA,1,
360,Eucalyptus saligna,Eucalyptus saligna,Eucalyptus saligna,NA,1,
361,Eucalyptus saxatilis,Eucalyptus saxatilis,Eucalyptus saxatilis,NA,1,
362,Eucalyptus saxicola,Eucalyptus saxicola,NA,NA,,
299,Eucalyptus pellita,Eucalyptus scias,Eucalyptus pellita,NA,1,
363,Eucalyptus scias,Eucalyptus scias,Eucalyptus pellita,NA,2,
364,Eucalyptus scias subsp. apoda,Eucalyptus scias subsp. apoda,Eucalyptus scias subsp. apoda,NA,1,
365,Eucalyptus scias subsp. callimastha,Eucalyptus scias subsp. callimastha,NA,NA,,
366,Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,NA,1,
367,Eucalyptus sclerophylla,Eucalyptus sclerophylla,NA,NA,,
368,Eucalyptus scoparia,Eucalyptus scoparia,Eucalyptus scoparia,NA,1,
369,Eucalyptus seeana,Eucalyptus seeana,Eucalyptus seeana,NA,1,
370,Eucalyptus serpentinicola,Eucalyptus serpentinicola,Eucalyptus moorei subsp. serpentinicola,NA,6,Matched; synonym of E. serpentinicola listed in EUCLID
371,Eucalyptus siderophloia,Eucalyptus siderophloia,Eucalyptus siderophloia,NA,1,
372,Eucalyptus sideroxylon,Eucalyptus sideroxylon,Eucalyptus sideroxylon,NA,1,
374,Eucalyptus sideroxylon subsp. sideroxylon,Eucalyptus sideroxylon,Eucalyptus sideroxylon,NA,1,
373,Eucalyptus sideroxylon <--> viridis,Eucalyptus sideroxylon <--> viridis,No match,NA,3,
375,Eucalyptus sieberi,Eucalyptus sieberi,Eucalyptus sieberi,NA,1,
376,Eucalyptus signata,Eucalyptus signata,NA,NA,,
377,Eucalyptus smithii,Eucalyptus smithii,Eucalyptus smithii,NA,1,
378,Eucalyptus socialis,Eucalyptus socialis,Eucalyptus socialis subsp. socialis,NA,6,Matched; E. socialis subsp. socialis and E. socialis both have E. turbinata listed as a synonym in the APC; match accepted by interpretation
379,Eucalyptus sp. aff. agglomerata,Eucalyptus sp. aff. agglomerata,NA,NA,,
380,Eucalyptus sp. aff. cameronii (Macleay-Apsley),Eucalyptus sp. aff. cameronii (Macleay-Apsley),NA,NA,,
381,Eucalyptus sp. aff. dwyeri,Eucalyptus sp. aff. dwyeri,NA,NA,,
382,Eucalyptus sp. aff. fibrosa (Pokolbin),Eucalyptus sp. aff. fibrosa (Pokolbin),NA,NA,,
383,Eucalyptus sp. aff. fibrosa (Yarrawa),Eucalyptus sp. aff. fibrosa (Yarrawa),NA,NA,,
384,Eucalyptus sp. aff. macrorhyncha,Eucalyptus sp. aff. macrorhyncha,NA,NA,,
385,Eucalyptus sp. 'Cattai',Eucalyptus sp. Cattai,NA,NA,,
386,Eucalyptus sparsifolia,Eucalyptus sparsifolia,Eucalyptus sparsifolia,NA,1,
387,Eucalyptus spectatrix,Eucalyptus spectatrix,NA,NA,,
388,Eucalyptus spp.,Eucalyptus spp.,No match,NA,4,
389,Eucalyptus squamosa,Eucalyptus squamosa,Eucalyptus squamosa,NA,1,
391,Eucalyptus stellulata,Eucalyptus stellulata,Eucalyptus stellulata,NA,1,
392,Eucalyptus stenostoma,Eucalyptus stenostoma,Eucalyptus stenostoma,NA,1,
393,Eucalyptus stricta,Eucalyptus stricta,Eucalyptus stricta,NA,1,
394,Eucalyptus sturgissiana,Eucalyptus sturgissiana,Eucalyptus sturgissiana,NA,1,
395,Eucalyptus subcaerula,Eucalyptus subcaerulea,NA,NA,,
396,Eucalyptus subcaerulea,Eucalyptus subcaerulea,NA,NA,,
390,Eucalyptus stannicola,Eucalyptus subtilior,NA,NA,,
397,Eucalyptus subtilior,Eucalyptus subtilior,NA,NA,,
398,Eucalyptus tenella,Eucalyptus tenella,Eucalyptus tenella,NA,1,
399,Eucalyptus tereticornis,Eucalyptus tereticornis,NA,NA,,
400,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,NA,1,
403,Eucalyptus tetrapleura,Eucalyptus tetrapleura,Eucalyptus tetrapleura,NA,1,
404,Eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,NA,1,
406,Eucalyptus tricarpa,Eucalyptus tricarpa,Eucalyptus tricarpa,NA,1,
407,Eucalyptus triflora,Eucalyptus triflora,Eucalyptus triflora,NA,1,
408,Eucalyptus triplex,Eucalyptus triplex,Eucalyptus cinerea subsp. triplex,NA,5,Matched; synonym of E. triplex listed on EUCLID
409,Eucalyptus umbra,Eucalyptus umbra,Eucalyptus umbra,NA,1,
410,Eucalyptus umbra subsp. umbra,Eucalyptus umbra,Eucalyptus umbra,NA,1,
411,Eucalyptus vicina,Eucalyptus vicina,Eucalyptus vicina,NA,1,
412,Eucalyptus viminalis,Eucalyptus viminalis,Eucalyptus viminalis subsp. viminalis,NA,2,
414,Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis,Eucalyptus viminalis subsp. viminalis,NA,1,
413,Eucalyptus viminalis subsp. luxurians,Eucalyptus viminalis subsp. luxurians,NA,NA,,
415,Eucalyptus viridis,Eucalyptus viridis,Eucalyptus viridis,NA,1,
416,Eucalyptus volcanica,Eucalyptus volcanica,Eucalyptus volcanica,NA,1,
417,Eucalyptus wilcoxii,Eucalyptus wilcoxii,Eucalyptus wilcoxii,NA,1,
418,Eucalyptus williamsiana,Eucalyptus williamsiana,Eucalyptus williamsiana,NA,1,
293,Eucalyptus patentinervis,Eucalyptus x kirtoniana,No match,NA,3,
350,Eucalyptus robusta x tereticornis,Eucalyptus x kirtoniana,No match,NA,3,
298,Eucalyptus pauciflora x radiata,Eucalyptus x vitrea,No match,NA,3,
419,Eucalyptus youmanii,Eucalyptus youmanii,Eucalyptus youmanii,NA,1,
1100,NA,NA,Absent in NSW,Corymbia abbreviata,5,Absent in NSW
2100,NA,NA,Absent in NSW,Corymbia abergiana,5,Absent in NSW
3100,NA,NA,Absent in NSW,Corymbia aparrerinja,5,Absent in NSW
4100,NA,NA,Absent in NSW,Corymbia arafurica,5,Absent in NSW
5100,NA,NA,Absent in NSW,Corymbia arenaria,5,Absent in NSW
695,NA,NA,Absent in NSW,Corymbia arnhemensis,5,Absent in NSW
710,NA,NA,Absent in NSW,Corymbia aspera,5,Absent in NSW
810,NA,NA,Absent in NSW,Corymbia aureola,5,Absent in NSW
910,NA,NA,Absent in NSW,Corymbia bella,5,Absent in NSW
1010,NA,NA,Absent in NSW,Corymbia blakei,5,Absent in NSW
1110,NA,NA,Absent in NSW,Corymbia bleeseri,5,Absent in NSW
1210,NA,NA,Absent in NSW,Corymbia bloxsomei,5,Absent in NSW
1310,NA,NA,Absent in NSW,Corymbia brachycarpa,5,Absent in NSW
1410,NA,NA,Absent in NSW,Corymbia bunites,5,Absent in NSW
1510,NA,NA,Absent in NSW,Corymbia cadophora subsp. cadophora,5,Absent in NSW
1610,NA,NA,Absent in NSW,Corymbia cadophora subsp. pliantha,5,Absent in NSW
1710,NA,NA,Absent in NSW,Corymbia cadophora subsp. polychroma,5,Absent in NSW
1810,NA,NA,Absent in NSW,Corymbia calophylla,5,Absent in NSW
1910,NA,NA,Absent in NSW,Corymbia candida,5,Absent in NSW
2010,NA,NA,Absent in NSW,Corymbia chartacea,5,Absent in NSW
2110,NA,NA,Absent in NSW,Corymbia chippendalei,5,Absent in NSW
2210,NA,NA,Absent in NSW,Corymbia clandestina,5,Absent in NSW
2310,NA,NA,Match found,Corymbia clarksoniana,5,Present in NSW; Matched; need to check literature; copied to C. polichocarpa and E. polichocarpa
2410,NA,NA,Absent in NSW,Corymbia clavigera,5,Absent in NSW
2510,NA,NA,Absent in NSW,Corymbia cliftoniana,5,Absent in NSW
2610,NA,NA,Absent in NSW,Corymbia collina,5,Absent in NSW
2710,NA,NA,Absent in NSW,Corymbia confertiflora,5,Absent in NSW
2810,NA,NA,Absent in NSW,Corymbia dallachiana,5,Absent in NSW
2910,NA,NA,Absent in NSW,Corymbia dendromerinx,5,Absent in NSW
3010,NA,NA,Absent in NSW,Corymbia deserticola subsp. deserticola,5,Absent in NSW
3110,NA,NA,Absent in NSW,Corymbia deserticola subsp. mesogeotica,5,Absent in NSW
3210,NA,NA,Absent in NSW,Corymbia dichromophloia,5,Absent in NSW
3310,NA,NA,Absent in NSW,Corymbia disjuncta,5,Absent in NSW
3410,NA,NA,Absent in NSW,Corymbia dunlopiana,5,Absent in NSW
3510,NA,NA,Absent in NSW,Corymbia ellipsoidea,5,Absent in NSW
3610,NA,NA,Absent in NSW,Corymbia eremaea,5,Absent in NSW
3710,NA,NA,Absent in NSW,Corymbia erythrophloia,5,Absent in NSW
3810,NA,NA,Absent in NSW,Corymbia ferriticola,5,Absent in NSW
3910,NA,NA,Absent in NSW,Corymbia ferruginea subsp. ferruginea,5,Absent in NSW
4010,NA,NA,Absent in NSW,Corymbia ferruginea subsp. stypophylla,5,Absent in NSW
4110,NA,NA,Absent in NSW,Corymbia ficifolia,5,Absent in NSW
4210,NA,NA,Absent in NSW,Corymbia flavescens,5,Absent in NSW
4310,NA,NA,Absent in NSW,Corymbia foelscheana,5,Absent in NSW
4410,NA,NA,Absent in NSW,Corymbia gilbertensis,5,Absent in NSW
4510,NA,NA,Absent in NSW,Corymbia grandifolia subsp. grandifolia,5,Absent in NSW
4610,NA,NA,Absent in NSW,Corymbia grandifolia subsp. lamprocardia,5,Absent in NSW
4710,NA,NA,Absent in NSW,Corymbia grandifolia subsp. longa,5,Absent in NSW
4810,NA,NA,Absent in NSW,Corymbia greeniana,5,Absent in NSW
4910,NA,NA,Absent in NSW,Corymbia haematoxylon,5,Absent in NSW
5010,NA,NA,Absent in NSW,Corymbia hamersleyana,5,Absent in NSW
5110,NA,NA,Absent in NSW,Corymbia hendersonii,5,Absent in NSW
5210,NA,NA,Absent in NSW,Corymbia hylandii,5,Absent in NSW
5310,NA,NA,Absent in NSW,Corymbia jacobsiana,5,Absent in NSW
5410,NA,NA,Absent in NSW,Corymbia kombolgiensis,5,Absent in NSW
