Found?,Search term,Census,Matched name(s),Name status,Name type,Tags,canonicalName,scientificNameAuthorship,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,kingdom,class,subclass,family,genericName,specificEpithet,infraspecificEpithet,nameElement,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID
TRUE,Eucalyptus aquatica,APC,Eucalyptus aquatica (Blakely) L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus aquatica,(Blakely) L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,aquatica,,aquatica,,,,
TRUE,Eucalyptus badjensis,APC,Eucalyptus badjensis Beuzev. & M.B.Welch,legitimate,scientific,[],Eucalyptus badjensis,Beuzev. & M.B.Welch,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,badjensis,,badjensis,,,,
TRUE,Eucalyptus baeuerlenii,APC,Eucalyptus baeuerlenii F.Muell.,legitimate,scientific,[],Eucalyptus baeuerlenii,F.Muell.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,baeuerlenii,,baeuerlenii,,,,
TRUE,Eucalyptus baileyana,APC,Eucalyptus baileyana F.Muell.,legitimate,scientific,[],Eucalyptus baileyana,F.Muell.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,baileyana,,baileyana,,,,
TRUE,Eucalyptus bakeri,APC,Eucalyptus bakeri Maiden,legitimate,scientific,[],Eucalyptus bakeri,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,bakeri,,bakeri,,,,
TRUE,Eucalyptus bancroftii,APC,Eucalyptus bancroftii (Maiden) Maiden,legitimate,scientific,[],Eucalyptus bancroftii,(Maiden) Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,bancroftii,,bancroftii,,,,
TRUE,Eucalyptus banksii,APC,Eucalyptus banksii Maiden,legitimate,scientific,[],Eucalyptus banksii,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,banksii,,banksii,,,,
TRUE,Eucalyptus baueriana,APC,Eucalyptus baueriana Schauer,legitimate,scientific,[],Eucalyptus baueriana,Schauer,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,baueriana,,baueriana,,,,
TRUE,Eucalyptus baxteri,APC,Eucalyptus baxteri (Benth.) Maiden & Blakely ex J.M.Black,legitimate,scientific,[],Eucalyptus baxteri,(Benth.) Maiden & Blakely ex J.M.Black,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,baxteri,,baxteri,,,,
TRUE,Eucalyptus behriana,APC,Eucalyptus behriana F.Muell.,legitimate,scientific,[],Eucalyptus behriana,F.Muell.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,behriana,,behriana,,,,
TRUE,Eucalyptus bensonii,APC,Eucalyptus bensonii L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus bensonii,L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,bensonii,,bensonii,,,,
TRUE,Eucalyptus benthamii,APC,Eucalyptus benthamii Maiden & Cambage,legitimate,scientific,[],Eucalyptus benthamii,Maiden & Cambage,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,benthamii,,benthamii,,,,
TRUE,Eucalyptus beyeriana,APC,Eucalyptus beyeriana L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus beyeriana,L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,beyeriana,,beyeriana,,,,
FALSE,Eucalyptus beyeriana <--> crebra,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus bicostata,,"Eucalyptus bicostata Maiden, Blakely & Simmonds",legitimate,scientific,[],Eucalyptus bicostata,"Maiden, Blakely & Simmonds",Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,bicostata,,bicostata,,,,
TRUE,Eucalyptus biturbinata,,Eucalyptus biturbinata L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus biturbinata,L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,biturbinata,,biturbinata,,,,
TRUE,Eucalyptus blakelyi,APC,Eucalyptus blakelyi Maiden,legitimate,scientific,[],Eucalyptus blakelyi,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,blakelyi,,blakelyi,,,,
FALSE,Eucalyptus blakelyi <--> dealbata,,not found,,,,,,,,,,,,,,,,,,,,
FALSE,Eucalyptus blakelyi <--> tereticornis,,not found,,,,,,,,,,,,,,,,,,,,
FALSE,Eucalyptus blakelyi x chloroclada,,not found,,,,,,,,,,,,,,,,,,,,
FALSE,Eucalyptus blakelyi x dwyeri,,not found,,,,,,,,,,,,,,,,,,,,
FALSE,Eucalyptus blakelyi x melliodora,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus blaxlandii,APC,Eucalyptus blaxlandii Maiden & Cambage,legitimate,scientific,[],Eucalyptus blaxlandii,Maiden & Cambage,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,blaxlandii,,blaxlandii,,,,
TRUE,Eucalyptus boliviana,APC,Eucalyptus boliviana J.B.Williams & K.D.Hill,legitimate,scientific,[],Eucalyptus boliviana,J.B.Williams & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,boliviana,,boliviana,,,,
TRUE,Eucalyptus bosistoana,APC,Eucalyptus bosistoana F.Muell.,legitimate,scientific,[],Eucalyptus bosistoana,F.Muell.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,bosistoana,,bosistoana,,,,
TRUE,Eucalyptus botryoides,APC,Eucalyptus botryoides Sm.,legitimate,scientific,[],Eucalyptus botryoides,Sm.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,botryoides,,botryoides,,,,
FALSE,Eucalyptus botryoides <--> saligna,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus bridgesiana,APC,Eucalyptus bridgesiana R.T.Baker,legitimate,scientific,[],Eucalyptus bridgesiana,R.T.Baker,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,bridgesiana,,bridgesiana,,,,
TRUE,Eucalyptus brunnea,,Eucalyptus brunnea L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus brunnea,L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,brunnea,,brunnea,,,,
TRUE,Eucalyptus burgessiana,APC,Eucalyptus burgessiana L.A.S.Johnson & Blaxell,legitimate,scientific,[],Eucalyptus burgessiana,L.A.S.Johnson & Blaxell,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,burgessiana,,burgessiana,,,,
TRUE,Eucalyptus caleyi,APC,Eucalyptus caleyi Maiden,legitimate,scientific,[],Eucalyptus caleyi,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,caleyi,,caleyi,,,,
TRUE,Eucalyptus caleyi subsp. caleyi,APC,Eucalyptus caleyi Maiden subsp. caleyi,legitimate,autonym,[],Eucalyptus caleyi subsp. caleyi,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,caleyi,caleyi,caleyi,,,,
TRUE,Eucalyptus caleyi subsp. ovendenii,APC,Eucalyptus caleyi subsp. ovendenii L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus caleyi subsp. ovendenii,L.A.S.Johnson & K.D.Hill,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,caleyi,ovendenii,ovendenii,,,,
TRUE,Eucalyptus caliginosa,APC,Eucalyptus caliginosa Blakely & McKie,legitimate,scientific,[],Eucalyptus caliginosa,Blakely & McKie,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,caliginosa,,caliginosa,,,,
FALSE,Eucalyptus caliginosa <--> laevopinea,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus calycogona,APC,Eucalyptus calycogona Turcz.,legitimate,scientific,[],Eucalyptus calycogona,Turcz.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,calycogona,,calycogona,,,,
TRUE,Eucalyptus camaldulensis,APC,Eucalyptus camaldulensis Dehnh.,legitimate,scientific,[],Eucalyptus camaldulensis,Dehnh.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,camaldulensis,,camaldulensis,,,,
FALSE,Eucalyptus camaldulensis <--> chloroclada,,not found,,,,,,,,,,,,,,,,,,,,
