species,whole bark description
Eucalyptus radiata subsp. radiata,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus radiata subsp. robertsonii,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus radiata subsp. sejuncta,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus rameliana,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus raveretiana,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus ravida,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus recta,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus recurva,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus redunca,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus regnans,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, rough bark loose basal slabs, partly or all smooth"
Eucalyptus relicta,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus remota,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, partly or all smooth"
Eucalyptus repullulans,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus resinifera subsp. hemilampra,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus resinifera subsp. resinifera,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus retinens,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus retusa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus rhodantha,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus rhombica,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus rhomboidea,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus rigens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus rigidula,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus risdonii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus robusta,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus rodwayi,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus rosacea,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus rowleyi,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus roycei,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, partly or all smooth"
Eucalyptus rubida subsp. barbigerorum,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark loose basal slabs, partly or all smooth"
Eucalyptus rubida subsp. rubida,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus rubiginosa,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus rudderi,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus rudis subsp. cratyantha,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus rudis subsp. rudis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus rugosa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus rugulata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus rummeryi,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus rupestris,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus salicola,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus saligna,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus salmonophloia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus salubris,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus sargentii subsp. onesia,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus sargentii subsp. sargentii,"branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus saxatilis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus scias subsp. apoda,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus scias subsp. scias,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus scoparia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus scopulorum,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus seeana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus selachiana,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus semiglobosa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus semota,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus sepulcralis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus serraensis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus sessilis,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus sheathiana,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus shirleyi,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus sicilifolia,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus siderophloia,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus sideroxylon,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus sieberi,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark compacted, rough bark ironbark, partly or all smooth"
Eucalyptus similis,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus singularis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus sinuosa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus smithii,"branches smooth, ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark compacted, partly or all smooth"
Eucalyptus socialis subsp. socialis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus socialis subsp. victoriensis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus socialis subsp. viridans,"branches smooth, no ribbons in branches, partly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus sp. Cockburn,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus sp. Dorsiventralis,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus sp. Kalbarri,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus sp. Southern Wheatbelt,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus sp. Undulans,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus sparsa,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus sparsifolia,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus spathulata subsp. salina,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus spathulata subsp. spathulata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus sphaerocarpa,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus splendens subsp. arcana,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus splendens subsp. splendens,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark compacted"
Eucalyptus sporadica,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus spreta,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus squamosa,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Eucalyptus staeri,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus staigeriana,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus steedmanii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus stellulata,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark loose basal slabs, rough bark compacted, partly or all smooth"
Eucalyptus stenostoma,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark compacted, partly or all smooth"
Eucalyptus stoatei,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus stowardii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus striaticalyx,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus stricklandii,"branches smooth, no ribbons in branches, partly rough, rough bark box type, partly or all smooth"
Eucalyptus stricta,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus strzeleckii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus sturgissiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus subangusta subsp. cerina,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus subangusta subsp. pusilla,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus subangusta subsp. subangusta,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus subangusta subsp. virescens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus subcrenulata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus suberea,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus subtilis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus suffulgens,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus suggrandis subsp. promiscua,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus suggrandis subsp. suggrandis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus surgens,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus sweedmaniana,"branches smooth, wholly smooth"
Eucalyptus synandra,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus talyuberlup,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus taurina,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus tectifica,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus tenella,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus tenera,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus tenuipes,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus tenuiramis,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus tenuis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus tephroclada,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus tephrodes,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus terebra,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus tereticornis subsp. basaltica,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus tereticornis subsp. mediana,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus tereticornis subsp. rotunda,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus tereticornis subsp. tereticornis,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus terrica,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus tetrapleura,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus tetraptera,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus tetrodonta,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus thamnoides subsp. megista,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus thamnoides subsp. thamnoides,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus tholiformis,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus thozetiana,"branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark imperfectly shed, rough bark tessellated, partly or all smooth"
Eucalyptus tindaliae,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus tintinnans,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus todtiana,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus torquata,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus tortilis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus transcontinentalis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus tricarpa,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus triflora,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark compacted, partly or all smooth"
Eucalyptus trivalvis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus tumida,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus ultima,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus umbra,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus umbrawarrensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus uncinata,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus urna,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus urnigera,"branches smooth, no ribbons in branches, partly rough, wholly smooth, partly or all smooth"
Eucalyptus utilis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus valens,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus varia subsp. salsuginosa,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus varia subsp. varia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus vegrandis subsp. recondita,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus vegrandis subsp. vegrandis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus vernicosa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus verrucata,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark loose basal slabs, partly or all smooth"
Eucalyptus vesiculosa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus vicina,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus victoriana,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus victrix,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus viminalis subsp. cygnetensis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus viminalis subsp. hentyensis,"branches smooth, no ribbons in branches, partly rough, rough bark loose basal slabs, partly or all smooth"
Eucalyptus viminalis subsp. pryoriana,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, partly or all smooth"
Eucalyptus viminalis subsp. viminalis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus virens,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus virginea,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus viridis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus vittata,"branches smooth, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus vokesensis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus volcanica,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus wandoo subsp. pulverea,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus wandoo subsp. wandoo,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus websteriana,"branches minnirichi, no ribbons in branches, main minnirichi, partly or all smooth"
Eucalyptus whitei,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus wilcoxii,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus williamsiana,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus willisii subsp. falciformis,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus willisii subsp. willisii,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough, partly or all smooth"
Eucalyptus woodwardii,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus woollsiana,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus wubinensis,"branches smooth, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus wyolensis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus x balanites,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus x balanopelex,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus x missilis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus x phylacis,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus xanthonema subsp. apposita,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus xanthonema subsp. xanthonema,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus xerothermica,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus yalatensis,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus yarraensis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus yilgarnensis,"branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus youmanii,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus youngiana,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus yumbarrana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus zopherophloia,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
