species,wholly rough
Eucalyptus sparsa,yes
Eucalyptus sparsifolia,yes
Eucalyptus sphaerocarpa,yes
Eucalyptus splendens subsp. arcana,yes
Eucalyptus splendens subsp. splendens,yes
Eucalyptus squamosa,yes
Eucalyptus staeri,yes
Eucalyptus staigeriana,yes
Eucalyptus striaticalyx,yes
Eucalyptus suberea,yes
Eucalyptus suffulgens,yes
Eucalyptus taurina,yes
Eucalyptus tectifica,yes
Eucalyptus tenella,yes
Eucalyptus tenuipes,yes
Eucalyptus tephrodes,yes
Eucalyptus terrica,yes
Eucalyptus tetrapleura,yes
Eucalyptus tetrodonta,yes
Eucalyptus tholiformis,yes
Eucalyptus thozetiana,yes
Eucalyptus tindaliae,yes
Eucalyptus todtiana,yes
Eucalyptus torquata,yes
Eucalyptus tricarpa,yes
Eucalyptus trivalvis,yes
Eucalyptus umbra,yes
Eucalyptus victoriana,yes
Eucalyptus viminalis subsp. cygnetensis,yes
Eucalyptus viminalis subsp. pryoriana,yes
Eucalyptus virens,yes
Eucalyptus vokesensis,yes
Eucalyptus volcanica,yes
Eucalyptus whitei,yes
Eucalyptus williamsiana,yes
Eucalyptus willisii subsp. falciformis,yes
Eucalyptus willisii subsp. willisii,yes
Eucalyptus woollsiana,yes
Eucalyptus wyolensis,yes
Eucalyptus x balanites,yes
Eucalyptus x phylacis,yes
Eucalyptus xerothermica,yes
Eucalyptus yalatensis,yes
Eucalyptus yarraensis,yes
Eucalyptus yilgarnensis,yes
Eucalyptus youmanii,yes
Eucalyptus youngiana,yes
Eucalyptus zopherophloia,yes
